Date,MERVAL,FRAN,TECO2,GGAL,COME,ALUA,APBR,TS,PAMP,EDN,BMA,YPFD,
5/20/2019,33492.480469,129.000000,133.750000,112.599998,3.000000,15.300000,310.250000,622.549988,41.900002,40.799999,208.300003,699.099976,
5/17/2019,33315.699219,129.000000,136.899994,110.699997,3.010000,15.600000,303.799988,629.650024,41.250000,42.299999,203.699997,697.150024,
5/16/2019,33892.171875,130.949997,137.750000,114.949997,3.050000,15.450000,310.649994,628.849976,42.650002,42.099998,207.350006,704.349976,
5/15/2019,33218.058594,128.100006,133.300003,111.900002,3.020000,15.350000,317.649994,608.700012,41.799999,41.500000,200.199997,684.400024,
5/14/2019,32510.830078,124.949997,131.250000,108.849998,2.900000,15.250000,324.549988,604.000000,40.849998,41.150002,196.500000,657.750000,
5/13/2019,32300.250000,125.150002,131.800003,107.400002,2.870000,15.700000,323.450012,588.700012,40.549999,42.099998,194.600006,641.650024,
5/10/2019,33393.808594,131.350006,134.899994,111.699997,2.910000,15.500000,333.549988,596.500000,41.799999,43.000000,210.050003,659.799988,
5/9/2019,34119.101563,137.899994,142.300003,113.900002,2.970000,14.850000,335.100006,602.599976,43.000000,43.450001,216.399994,682.000000,
5/8/2019,33775.968750,133.399994,141.699997,111.099998,2.990000,15.000000,345.100006,606.250000,43.000000,42.849998,214.300003,679.000000,
5/7/2019,32741.130859,129.600006,133.449997,105.349998,2.910000,15.200000,334.399994,600.799988,41.450001,41.250000,208.500000,669.000000,
5/6/2019,33001.078125,131.050003,129.000000,109.250000,2.930000,15.450000,331.850006,606.950012,42.150002,41.799999,215.199997,659.200012,
5/3/2019,32412.269531,132.050003,122.500000,109.199997,2.900000,15.500000,334.299988,610.299988,41.500000,40.150002,214.850006,642.799988,
5/2/2019,30817.009766,123.400002,121.000000,104.000000,2.830000,15.450000,333.500000,600.099976,39.200001,39.500000,197.199997,610.250000,
4/30/2019,29571.359375,119.500000,118.599998,96.949997,2.820000,15.400000,337.799988,615.000000,37.450001,38.799999,180.500000,600.000000,
4/29/2019,28827.369141,114.400002,118.550003,95.199997,2.710000,15.100000,338.100006,621.500000,36.200001,37.500000,177.850006,586.349976,
4/26/2019,30001.099609,118.300003,121.000000,98.000000,2.850000,14.900000,343.049988,625.250000,38.900002,39.349998,187.750000,607.000000,
4/25/2019,29556.769531,116.449997,120.900002,95.250000,2.790000,14.400000,348.399994,638.799988,38.700001,39.799999,186.050003,612.500000,
4/24/2019,29746.599609,114.900002,125.000000,96.900002,2.680000,14.350000,337.600006,644.450012,38.299999,37.000000,189.850006,624.650024,
4/23/2019,30926.730469,124.050003,121.500000,104.000000,2.820000,14.800000,337.149994,641.150024,39.849998,38.299999,199.699997,629.400024,
4/22/2019,30786.640625,123.199997,122.000000,103.849998,2.810000,14.750000,333.250000,639.799988,40.000000,37.500000,201.949997,615.000000,
4/17/2019,32036.779297,131.949997,127.000000,110.500000,2.900000,14.800000,325.000000,623.450012,41.349998,37.549999,214.800003,631.900024,
4/16/2019,32290.179688,134.000000,126.300003,110.800003,2.980000,15.100000,329.750000,633.950012,42.200001,37.349998,210.000000,638.150024,
4/15/2019,31745.570313,132.050003,121.199997,111.099998,2.940000,14.650000,312.250000,591.200012,41.500000,37.150002,206.699997,623.200012,
4/12/2019,31357.029297,128.699997,120.800003,107.900002,2.940000,15.050000,316.399994,598.900024,40.500000,36.799999,204.050003,621.150024,
4/11/2019,31501.039063,126.400002,122.000000,105.699997,2.970000,15.850000,352.549988,597.299988,41.150002,37.450001,197.050003,632.000000,
4/10/2019,32154.539063,128.300003,123.800003,108.699997,3.010000,16.450001,365.450012,603.849976,42.500000,37.799999,206.250000,641.950012,
4/9/2019,31743.380859,126.449997,124.400002,105.150002,3.010000,16.049999,366.950012,610.349976,42.500000,37.450001,199.649994,637.049988,
4/8/2019,33080.871094,132.600006,124.500000,110.599998,3.080000,17.049999,369.700012,631.200012,44.650002,39.849998,206.399994,652.150024,
4/5/2019,32666.880859,132.100006,123.500000,109.550003,3.080000,16.850000,360.700012,629.950012,44.049999,40.750000,199.899994,638.750000,
4/4/2019,32142.470703,130.399994,122.050003,107.050003,3.100000,16.200001,351.649994,618.049988,44.000000,41.349998,189.899994,629.650024,
4/3/2019,31765.109375,128.399994,122.400002,104.099998,3.130000,16.299999,336.100006,606.950012,44.200001,40.700001,184.149994,614.700012,
4/1/2019,33006.820313,136.149994,125.699997,108.599998,3.220000,16.850000,341.850006,619.000000,45.900002,41.500000,200.750000,616.150024,
3/29/2019,33466.031250,137.949997,126.800003,110.699997,3.320000,17.250000,346.399994,615.099976,48.099998,43.099998,198.750000,610.000000,
3/28/2019,32892.148438,134.899994,127.000000,108.849998,3.280000,16.500000,347.000000,610.700012,47.349998,43.000000,192.399994,595.400024,
3/27/2019,32174.679688,134.149994,121.599998,106.599998,3.090000,16.750000,340.500000,618.599976,45.750000,42.500000,188.050003,591.099976,
3/26/2019,32627.589844,135.149994,127.000000,107.949997,3.120000,16.400000,348.250000,602.049988,46.700001,44.150002,195.449997,589.349976,
3/25/2019,33166.320313,138.350006,127.500000,113.099998,3.160000,16.650000,335.200012,605.849976,47.849998,46.500000,198.350006,580.150024,
3/22/2019,32827.980469,135.350006,125.000000,108.500000,3.190000,16.799999,334.149994,610.599976,48.200001,46.500000,194.699997,577.750000,
3/21/2019,34186.078125,143.250000,126.000000,115.400002,3.320000,16.650000,348.799988,589.950012,50.799999,49.599998,209.949997,593.500000,
3/20/2019,34743.898438,148.500000,126.500000,117.750000,3.400000,17.150000,359.200012,582.349976,51.900002,50.200001,214.949997,592.450012,
3/19/2019,34373.199219,146.750000,125.699997,116.349998,3.500000,17.600000,350.149994,566.000000,50.700001,49.599998,209.250000,577.950012,
3/18/2019,34939.300781,149.600006,124.150002,117.800003,3.320000,17.750000,340.799988,563.000000,52.599998,50.799999,207.000000,584.900024,
3/15/2019,33933.078125,143.699997,124.550003,113.300003,3.330000,18.150000,330.850006,555.299988,49.549999,50.549999,199.149994,576.849976,
3/14/2019,33530.449219,139.399994,123.900002,111.349998,3.320000,17.950001,333.149994,568.500000,48.849998,49.650002,191.699997,571.500000,
3/13/2019,34023.019531,143.399994,126.099998,113.650002,3.340000,17.799999,337.899994,577.849976,50.700001,51.450001,193.550003,576.099976,
3/12/2019,33681.281250,142.250000,127.000000,111.800003,3.260000,18.200001,327.750000,561.849976,49.650002,52.200001,189.100006,568.000000,
3/11/2019,33790.679688,147.149994,125.199997,113.500000,3.180000,18.049999,328.299988,547.299988,50.599998,51.750000,196.699997,560.700012,
3/8/2019,33020.070313,145.750000,121.400002,110.250000,3.190000,17.900000,310.850006,531.950012,49.849998,51.299999,183.699997,535.900024,
3/7/2019,33189.910156,144.750000,125.900002,109.099998,3.180000,18.500000,324.350006,556.650024,50.099998,51.250000,184.949997,541.950012,
3/6/2019,32340.429688,138.199997,118.199997,108.750000,3.160000,18.350000,309.100006,537.450012,47.549999,50.400002,178.050003,502.250000,
3/1/2019,33834.859375,140.750000,117.099998,117.400002,3.250000,18.850000,309.500000,529.750000,49.099998,50.400002,187.399994,550.150024,
2/28/2019,34485.800781,144.500000,116.949997,120.800003,3.290000,18.700001,309.399994,521.200012,50.750000,50.250000,196.699997,554.200012,
2/27/2019,35345.468750,148.000000,117.000000,124.449997,3.350000,18.850000,323.049988,527.950012,51.049999,50.000000,207.699997,561.000000,
2/26/2019,36026.628906,152.550003,118.900002,129.750000,3.370000,18.950001,319.549988,525.099976,53.250000,52.000000,207.850006,567.200012,
2/25/2019,36332.031250,156.000000,118.400002,131.500000,3.380000,19.150000,321.450012,536.599976,53.450001,52.599998,206.399994,578.150024,
2/22/2019,36646.789063,157.699997,121.500000,131.850006,3.410000,18.950001,328.200012,537.849976,53.750000,52.900002,211.550003,592.349976,
2/21/2019,35852.140625,149.000000,121.949997,127.800003,3.390000,18.750000,331.799988,547.400024,53.250000,51.750000,203.100006,578.400024,
2/20/2019,36503.511719,152.399994,119.050003,131.000000,3.400000,19.400000,338.750000,548.000000,55.500000,53.400002,204.899994,588.500000,
2/19/2019,36292.289063,155.800003,119.000000,128.550003,3.430000,19.549999,330.950012,528.849976,54.099998,52.650002,205.199997,580.900024,
2/18/2019,37355.238281,160.550003,124.949997,134.000000,3.510000,20.000000,322.149994,527.750000,56.900002,54.049999,217.100006,594.099976,
2/15/2019,37469.968750,164.050003,123.750000,134.800003,3.500000,19.000000,325.600006,521.200012,57.750000,55.000000,220.600006,603.450012,
2/14/2019,37385.750000,166.899994,124.099998,136.149994,3.570000,18.299999,321.000000,504.100006,57.750000,55.400002,221.550003,605.200012,
2/13/2019,37038.921875,166.600006,122.900002,135.149994,3.440000,18.350000,309.350006,495.200012,57.799999,55.099998,216.050003,599.549988,
2/12/2019,37685.960938,173.250000,124.449997,140.300003,3.450000,18.650000,305.600006,483.049988,58.549999,55.900002,223.500000,605.549988,
2/11/2019,37023.738281,166.550003,122.199997,138.449997,3.440000,18.299999,291.750000,473.000000,58.900002,56.500000,217.899994,584.599976,
2/8/2019,36664.238281,167.199997,122.199997,136.050003,3.420000,18.549999,296.450012,463.750000,55.450001,55.950001,216.949997,591.450012,
2/7/2019,35928.988281,163.500000,119.650002,131.050003,3.370000,18.250000,299.750000,474.000000,54.400002,54.250000,213.149994,581.900024,
2/6/2019,36731.671875,168.100006,118.500000,134.850006,3.430000,18.200001,303.450012,479.450012,55.599998,54.299999,216.050003,604.599976,
2/5/2019,37471.671875,174.300003,123.349998,139.000000,3.510000,18.450001,308.049988,475.500000,55.900002,54.150002,223.600006,613.099976,
2/4/2019,37145.000000,171.500000,123.050003,137.550003,3.530000,18.549999,306.950012,471.899994,53.099998,54.000000,222.649994,615.650024,
2/1/2019,36599.878906,166.350006,124.349998,134.050003,3.550000,19.100000,303.350006,467.500000,53.250000,54.900002,216.000000,614.750000,
1/31/2019,36326.921875,168.000000,123.800003,135.350006,3.470000,19.049999,301.950012,465.600006,53.250000,53.500000,214.500000,606.299988,
1/30/2019,36039.109375,169.699997,123.599998,132.500000,3.390000,19.250000,298.350006,472.600006,53.299999,53.200001,214.850006,595.549988,
1/29/2019,35511.210938,165.500000,123.650002,130.699997,3.400000,18.600000,293.149994,462.000000,52.549999,52.549999,215.449997,589.000000,
1/28/2019,34840.800781,161.899994,121.000000,130.949997,3.370000,17.799999,283.049988,456.000000,51.549999,52.000000,205.699997,567.700012,
1/25/2019,34810.511719,157.850006,121.000000,126.900002,3.470000,18.400000,292.750000,464.850006,51.500000,50.799999,205.399994,575.450012,
1/24/2019,34939.050781,159.250000,122.099998,124.900002,3.550000,18.450001,290.700012,452.600006,52.599998,50.950001,204.600006,591.950012,
1/23/2019,34819.128906,157.949997,120.400002,127.699997,3.570000,18.500000,288.799988,447.000000,52.349998,50.700001,206.350006,567.450012,
1/22/2019,34042.761719,157.000000,122.050003,120.849998,3.550000,18.350000,285.799988,445.899994,52.049999,50.400002,196.500000,572.150024,
